Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240409133530-20240409193329,20240401000000-20240404000000,2024-04-09 19:31:29,VAHCCG:D05_H05:PRES,3.06e-07,3.95e-08,7.13e+02,9.354e-08,7.15e-07,7.15e-07,4.26e-07,1.76e-07,1.74e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-5.87e-12,0.00e+00,1.76e-07,8.21e-10,0.00e+00,1.33e-07,3.62e-08,1.02e-07,0.00e+00
20240409133530-20240409193329,20240401000000-20240404000000,2024-04-09 19:31:29,VAHCCG:D05_H06:PRES,1.98e-08,1.00e-08,7.13e+02,3.197e-08,8.17e-08,8.17e-08,4.33e-08,3.02e-08,3.02e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.73e-15,0.00e+00,3.02e-08,6.57e-11,0.00e+00,1.98e-08,1.00e-08,2.13e-08,0.00e+00
20240410191500-20240410203542,20240402000000-20240405000000,2024-04-10 20:33:42,VAHCCG:D02_H23:PRES,1.75e-07,4.48e-08,1.61e+02,4.112e-07,7.11e-07,7.11e-07,2.16e-07,1.82e-07,1.80e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.71e-11,0.00e+00,1.82e-07,2.63e-09,0.00e+00,4.29e-09,1.17e-07,4.15e-07,0.00e+00
20240411093300-20240411153044,20240403000000-20240406000000,2024-04-11 15:28:44,VAHCCG:D05_H04:PRES,4.81e-08,1.00e-08,7.15e+02,2.400e-08,1.04e-07,1.04e-07,7.75e-08,3.01e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.74e-13,0.00e+00,3.00e-08,2.49e-11,0.00e+00,6.86e-08,1.00e-08,2.09e-08,0.00e+00
20240411093300-20240411153044,20240403000000-20240406000000,2024-04-11 15:28:44,VAHCCG:D05_H05:PRES,1.83e-07,1.59e-08,7.15e+02,5.324e-08,3.84e-07,3.84e-07,2.94e-07,1.29e-07,1.18e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-3.06e-11,0.00e+00,1.29e-07,1.93e-10,0.00e+00,2.25e-07,1.00e-08,3.59e-08,0.00e+00
20240411101300-20240411161043,20240403000000-20240406000000,2024-04-11 16:08:43,VAHCCG:D05_H04:PRES,5.04e-08,1.00e-08,7.15e+02,2.400e-08,1.07e-07,1.07e-07,7.97e-08,3.01e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.74e-13,0.00e+00,3.00e-08,2.75e-11,0.00e+00,6.99e-08,1.00e-08,2.10e-08,0.00e+00
20240411101300-20240411161043,20240403000000-20240406000000,2024-04-11 16:08:43,VAHCCG:D05_H05:PRES,1.98e-07,1.59e-08,7.15e+02,5.324e-08,3.96e-07,3.96e-07,3.10e-07,1.29e-07,1.18e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-3.06e-11,0.00e+00,1.29e-07,1.97e-10,0.00e+00,2.39e-07,1.00e-08,3.57e-08,0.00e+00
20240417110430-20240417170223,20240409000000-20240412000000,2024-04-17 17:00:23,VAHCCG:D05_H06:PRES,3.73e-07,1.00e-08,7.15e+02,4.640e-08,1.14e-06,1.14e-06,1.86e-07,3.44e-08,3.41e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.80e-13,0.00e+00,3.38e-08,2.05e-11,0.00e+00,1.79e-07,3.40e-07,9.50e-07,0.00e+00
20240515083900-20240515143700,20240507000000-20240510000000,2024-05-15 14:35:00,VAHCCG:D01_H02:PRES,8.61e-04,2.10e-08,7.16e+02,1.361e-07,1.73e-03,1.73e-03,4.66e-04,5.92e-08,4.77e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-3.23e-11,0.00e+00,5.92e-08,7.96e-07,0.00e+00,1.81e-04,7.05e-04,1.23e-03,0.00e+00
20240515083900-20240515143700,20240507000000-20240510000000,2024-05-15 14:35:00,VAHCCG:D02_H23:PRES,2.82e-04,2.78e-08,7.16e+02,3.168e-07,5.86e-04,5.86e-04,1.48e-04,9.19e-08,8.42e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.13e-11,0.00e+00,9.19e-08,2.77e-07,0.00e+00,4.94e-05,2.32e-04,4.15e-04,0.00e+00
