Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240402205500-20240402220152,20240325000000-20240328000000,2024-04-02 21:59:52,VAHCCG:D08_H20:PRES,2.40e-05,1.61e-06,6.41e+02,3.272e-05,1.24e-04,1.24e-04,8.81e-05,6.45e-05,6.44e-05,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.89e-10,0.00e+00,6.40e-05,0.00e+00,0.00e+00,8.81e-05,3.68e-06,3.61e-05,0.00e+00
20240402220200-20240402234031,20240325000000-20240328000000,2024-04-02 23:38:31,VAHCCG:D05_H20:PRES,9.49e-08,1.72e-08,7.21e+02,4.799e-07,1.26e-06,1.26e-06,4.02e-08,3.19e-08,3.19e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.19e-08,0.00e+00,1.01e-12,7.35e-09,9.40e-08,1.21e-06,0.00e+00
20240405124200-20240405152337,20240328000000-20240331000000,2024-04-05 15:21:37,VAHCCG:D05_H23:PRES,3.00e-08,1.00e-08,8.20e+02,4.419e-08,5.12e-07,5.12e-07,3.60e-08,3.06e-08,3.03e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.92e-15,2.99e-08,0.00e+00,2.65e-13,2.41e-08,2.87e-08,4.68e-07,0.00e+00
20240406221400-20240407041141,20240330000000-20240402000000,2024-04-07 04:09:41,VAHCCG:D01_H16:PRES,4.89e-08,1.00e-08,7.60e+02,3.387e-08,1.77e-07,1.77e-07,1.40e-07,1.03e-07,9.64e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.09e-10,1.22e-13,1.27e-08,0.00e+00,1.91e-12,4.21e-08,1.12e-08,5.25e-08,0.00e+00
20240406221200-20240407081719,20240330000000-20240402000000,2024-04-07 08:15:19,VAHCCG:D01_H16:PRES,5.27e-08,1.00e-08,7.60e+02,3.387e-08,1.77e-07,1.77e-07,1.48e-07,1.03e-07,9.90e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.09e-10,1.22e-13,1.27e-08,0.00e+00,1.99e-12,3.92e-08,1.00e-08,5.46e-08,0.00e+00
20240409193100-20240409201313,20240401000000-20240404000000,2024-04-09 20:11:13,VAHCCG:D05_H05:PRES,4.51e-07,4.08e-08,5.02e+01,1.076e-07,7.03e-07,6.89e-07,6.53e-07,2.02e-07,2.02e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.02e-07,0.00e+00,0.00e+00,6.53e-07,1.02e-08,3.66e-08,0.00e+00
20240409201530-20240410021313,20240402000000-20240405000000,2024-04-10 02:11:13,VAHCCG:D05_H05:PRES,1.79e-07,4.00e-08,8.01e+02,1.236e-07,6.60e-07,6.60e-07,3.08e-07,1.78e-07,1.78e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.78e-07,0.00e+00,0.00e+00,3.08e-07,1.23e-07,3.52e-07,0.00e+00
20240410021530-20240410081313,20240402000000-20240405000000,2024-04-10 08:11:13,VAHCCG:D05_H04:PRES,2.86e-08,1.00e-08,8.01e+02,2.320e-08,1.04e-07,1.04e-07,7.12e-08,5.42e-08,4.33e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.20e-11,0.00e+00,1.26e-08,7.35e-11,0.00e+00,2.79e-08,1.00e-08,2.35e-08,0.00e+00
20240409094730-20240410094850,20240402000000-20240405000000,2024-04-10 09:46:50,VAHCCG:D05_H04:PRES,2.90e-08,1.00e-08,8.81e+02,2.320e-08,1.11e-07,1.06e-07,7.46e-08,5.83e-08,4.66e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.20e-11,0.00e+00,1.26e-08,6.22e-11,2.58e-14,3.36e-08,1.00e-08,2.47e-08,0.00e+00
20240409094730-20240410094850,20240402000000-20240405000000,2024-04-10 09:46:50,VAHCCG:D05_H05:PRES,1.30e-07,4.00e-08,8.81e+02,1.236e-07,7.15e-07,6.60e-07,2.14e-07,1.78e-07,1.78e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.78e-07,0.00e+00,0.00e+00,2.14e-07,1.25e-07,4.47e-07,0.00e+00
