Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Avg_Pre,Max_Cal,Avg_Cal,Max_Raw_Pre,Avg_Raw_Pre,Max_STD_Raw_Pre,Avg_STD_Raw_Pre,W0_std,W1_std,W2_std,W3_std,W4_std,W0_dif,W1_dif,W2_dif,W3_dif,W4_dif,RMSE_dif,MaxRSE_dif,Cause_no
20240401022330-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VAHCCG:D02_H22:PRES,4.12e+00,3.20e-01,6.80e+02,5.051e+00,2.38e+01,1.21e+00,1.33e+00,1.21e-01,6.13e-07,3.13e-08,1.94e-07,2.35e-09,1.33e+00,9.70e-02,6.67e-07,7.81e-08,0.00e+00,1.12e+01,7.55e-02,3.02e-06,9.44e-07,0.00e+00,3.28e+00,1.67e+01,0.00e+00
20240401180230-20240401185109,20240324000000-20240327000000,2024-04-01 18:49:09,VAHCCG:D01_H02:PRES,2.19e-01,4.06e-02,5.60e+02,2.562e-01,1.46e+00,1.05e+00,1.01e+00,8.50e-01,1.97e-07,1.43e-07,3.12e-07,2.05e-07,9.51e-01,2.07e-03,3.78e-02,2.11e-02,0.00e+00,1.17e+00,2.03e-03,1.33e-14,3.02e-02,0.00e+00,7.46e-02,2.85e-01,0.00e+00
20240401180230-20240401193125,20240324000000-20240327000000,2024-04-01 19:29:25,VAHCCG:D01_H02:PRES,2.19e-01,4.06e-02,5.60e+02,2.562e-01,1.46e+00,1.05e+00,1.01e+00,8.50e-01,1.97e-07,1.43e-07,3.12e-07,2.05e-07,9.51e-01,2.07e-03,3.78e-02,2.11e-02,0.00e+00,1.17e+00,2.03e-03,1.33e-14,3.02e-02,0.00e+00,7.46e-02,2.85e-01,0.00e+00
20240402042830-20240402054730,20240325000000-20240328000000,2024-04-02 05:45:30,VAHCCG:D02_H03:PRES,7.34e-01,1.00e-02,6.80e+02,3.742e-12,3.67e+00,1.85e-01,3.74e-12,2.10e-12,1.38e-07,6.98e-09,0.00e+00,0.00e+00,3.39e-17,2.72e+01,1.71e-12,2.03e-12,0.00e+00,4.16e+00,1.62e-01,1.10e-13,1.83e-08,0.00e+00,1.68e-01,6.79e-01,0.00e+00
20240402064930-20240402083714,20240325000000-20240328000000,2024-04-02 08:35:14,VAHCCG:D02_H22:PRES,3.03e+00,3.47e-01,6.80e+02,5.033e+00,1.80e+01,8.46e-01,1.33e+00,1.17e-01,3.81e-07,1.79e-08,1.94e-07,2.40e-09,1.33e+00,9.26e-02,8.49e-10,5.83e-15,0.00e+00,1.21e+01,1.01e-01,8.33e-10,3.84e-09,0.00e+00,1.99e+00,9.92e+00,0.00e+00
20240402064930-20240402093428,20240325000000-20240328000000,2024-04-02 09:32:28,VAHCCG:D02_H22:PRES,3.03e+00,3.47e-01,6.80e+02,5.033e+00,1.80e+01,8.46e-01,1.33e+00,1.17e-01,3.81e-07,1.79e-08,1.94e-07,2.40e-09,1.33e+00,9.26e-02,8.49e-10,5.83e-15,0.00e+00,1.21e+01,1.01e-01,8.33e-10,3.84e-09,0.00e+00,1.99e+00,9.92e+00,0.00e+00
20240402064930-20240402115707,20240325000000-20240328000000,2024-04-02 11:55:07,VAHCCG:D02_H22:PRES,3.03e+00,3.47e-01,6.80e+02,5.033e+00,1.80e+01,8.46e-01,1.33e+00,1.17e-01,3.81e-07,1.79e-08,1.94e-07,2.40e-09,1.33e+00,9.26e-02,8.49e-10,5.83e-15,0.00e+00,1.21e+01,1.01e-01,8.33e-10,3.84e-09,0.00e+00,1.99e+00,9.92e+00,0.00e+00
20240402143030-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VAHCCG:D02_H22:PRES,3.28e+00,3.47e-01,7.21e+02,5.033e+00,2.41e+01,7.32e-01,1.33e+00,1.11e-01,1.05e-06,3.19e-08,1.94e-07,2.40e-09,1.33e+00,9.26e-02,8.49e-10,5.83e-15,0.00e+00,1.44e+01,1.44e-01,5.43e-11,1.04e-07,0.00e+00,2.27e+00,1.32e+01,0.00e+00
20240407140830-20240407200620,20240330000000-20240402000000,2024-04-07 20:04:20,VAHCCG:D04_H08X:PRES,5.05e-01,4.91e-02,7.61e+02,2.548e-01,1.21e+00,9.95e-01,1.01e+00,4.91e-01,4.11e-07,3.38e-07,6.67e-07,2.96e-07,4.67e-01,7.85e-04,4.89e-01,5.14e-02,0.00e+00,1.08e+00,7.08e-04,1.37e-01,2.82e-04,0.00e+00,1.64e-02,8.87e-02,0.00e+00
20240407140830-20240407200620,20240330000000-20240402000000,2024-04-07 20:04:20,VAHCCG:D04_H0X:PRES,6.29e-01,5.28e-02,7.61e+02,2.935e-01,1.28e+00,9.90e-01,9.60e-01,3.62e-01,4.88e-07,3.77e-07,1.05e-06,3.39e-07,2.65e-01,1.02e-03,5.85e-01,1.10e-01,0.00e+00,1.08e+00,7.98e-04,2.56e-01,2.14e-03,0.00e+00,1.70e-02,9.35e-02,0.00e+00
20240410203600-20240410211409,20240402000000-20240405000000,2024-04-10 21:12:09,VAHCCG:D02_H05:PRES,1.69e+00,1.23e-01,5.01e+01,8.156e-01,8.01e+00,1.45e+00,1.13e+00,7.38e-01,1.78e-07,3.21e-08,7.92e-08,3.02e-08,6.87e-01,1.06e-03,3.70e-01,7.50e-02,0.00e+00,1.04e+00,5.38e-11,8.38e-08,4.06e-01,0.00e+00,1.52e+00,6.56e+00,0.00e+00
20240411183700-20240411190738,20240403000000-20240406000000,2024-04-11 19:05:38,VAHCCG:D05_H04:PRES,1.10e+00,1.19e-01,3.00e+02,9.399e-01,1.40e+00,1.14e+00,9.40e-01,5.66e-02,1.12e-07,9.10e-08,2.66e-08,9.73e-10,9.40e-01,1.35e-01,4.85e-13,3.46e-08,0.00e+00,1.15e+00,1.60e-04,3.51e-09,2.42e-03,0.00e+00,1.13e-01,2.65e-01,0.00e+00
20240414140230-20240414165544,20240406000000-20240409000000,2024-04-14 16:53:44,VAHCCG:D04_H06A:PRES,4.46e-01,1.14e-01,8.40e+02,1.350e+00,2.69e+00,5.70e-01,1.15e+00,4.89e-01,4.30e-07,9.12e-08,2.98e-07,7.53e-08,4.80e-01,1.80e-03,6.34e-01,3.26e-02,0.00e+00,5.47e-01,5.82e-13,4.92e-01,1.80e-11,0.00e+00,4.30e-01,2.14e+00,0.00e+00
20240414221030-20240415040809,20240407000000-20240410000000,2024-04-15 04:06:09,VAHCCG:D04_H06A:PRES,6.34e-01,5.96e-02,8.57e+02,2.890e-01,3.16e+00,9.47e-01,1.14e+00,4.34e-01,1.69e-07,5.08e-08,1.62e-07,7.17e-08,4.83e-01,2.29e-03,6.11e-01,4.33e-02,0.00e+00,1.06e+00,1.21e-03,1.93e-12,2.07e-02,0.00e+00,3.65e-01,2.19e+00,0.00e+00
