Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240401003100-20240401014311,20240324000000-20240327000000,2024-04-01 01:41:11,Dummy,1.00e-08,1.00e-08,6.400e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240401022330-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,Dummy,1.00e-08,1.00e-08,6.804e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240401022330-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,Dummy,1.00e-08,1.00e-08,6.804e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240401053100-20240401095028,20240324000000-20240327000000,2024-04-01 09:48:28,Dummy,1.00e-08,1.00e-08,6.804e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240401053100-20240401104151,20240324000000-20240327000000,2024-04-01 10:39:51,Dummy,1.00e-08,1.00e-08,6.804e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240401095030-20240401125632,20240324000000-20240327000000,2024-04-01 12:54:32,Dummy,1.00e-08,1.00e-08,3.004e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240401095030-20240401144543,20240324000000-20240327000000,2024-04-01 14:43:43,Dummy,1.00e-08,1.00e-08,3.004e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240401125700-20240401154658,20240324000000-20240327000000,2024-04-01 15:44:58,Dummy,1.00e-08,1.00e-08,5.600e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240401154700-20240401163933,20240324000000-20240327000000,2024-04-01 16:37:33,Dummy,1.00e-08,1.00e-08,5.603e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240401170530-20240401180218,20240324000000-20240327000000,2024-04-01 18:00:18,Dummy,1.00e-08,1.00e-08,5.603e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
