Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Avg_Pre,Max_Cal,Avg_Cal,Max_Raw_Pre,Avg_Raw_Pre,Max_STD_Raw_Pre,Avg_STD_Raw_Pre,W0_std,W1_std,W2_std,W3_std,W4_std,W0_dif,W1_dif,W2_dif,W3_dif,W4_dif,RMSE_dif,MaxRSE_dif,Cause_no
20240409133530-20240409193329,20240401000000-20240404000000,2024-04-09 19:31:29,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240409133530-20240409193329,20240401000000-20240404000000,2024-04-09 19:31:29,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410112500-20240410172242,20240402000000-20240405000000,2024-04-10 17:20:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240410191500-20240410203542,20240402000000-20240405000000,2024-04-10 20:33:42,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
20240411093300-20240411153044,20240403000000-20240406000000,2024-04-11 15:28:44,Dummy,1.00e-01,1.00e-02,0.000e+00,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-01,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,1.00e-07,1.00e-07,0.,1.00e-07,1.00e-07,0
