Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Avg_Pre,Max_Cal,Avg_Cal,Max_Raw_Pre,Avg_Raw_Pre,Max_STD_Raw_Pre,Avg_STD_Raw_Pre,W0_std,W1_std,W2_std,W3_std,W4_std,W0_dif,W1_dif,W2_dif,W3_dif,W4_dif,RMSE_dif,MaxRSE_dif,Cause_no
20240401003100-20240401014311,20240324000000-20240327000000,2024-04-01 01:41:11,VAHCCG:D01_H04:PRES,9.71e-01,1.00e-02,6.40e+02,5.820e-12,1.03e+00,9.70e-01,5.82e-12,3.84e-12,1.38e-08,1.30e-08,0.00e+00,0.00e+00,1.42e-15,2.72e+01,2.07e-12,3.75e-12,0.00e+00,9.39e-01,4.76e-04,2.16e-02,6.25e-02,0.00e+00,3.31e-02,8.04e-02,0.00e+00
20240401003100-20240401014311,20240324000000-20240327000000,2024-04-01 01:41:11,VAHCCG:D01_H06:PRES,2.90e-01,1.00e-02,6.40e+02,5.820e-12,1.00e+00,9.47e-02,5.82e-12,3.84e-12,1.78e-08,1.68e-09,0.00e+00,0.00e+00,1.42e-15,2.72e+01,2.07e-12,3.75e-12,0.00e+00,1.27e+00,8.80e-02,8.20e-06,2.45e-07,0.00e+00,1.01e-01,3.12e-01,0.00e+00
20240401003100-20240401014311,20240324000000-20240327000000,2024-04-01 01:41:11,VAHCCG:D01_H10:PRES,4.59e-01,1.04e-01,6.40e+02,1.147e+00,1.02e+00,5.30e-01,1.15e+00,8.05e-02,3.56e-08,1.86e-08,2.53e-08,1.58e-09,1.15e+00,1.07e-01,2.79e-06,1.42e-10,0.00e+00,5.86e-01,2.92e-03,5.60e-01,2.91e-02,0.00e+00,6.81e-02,2.63e-01,0.00e+00
20240401022330-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VAHCCG:D01_H04:PRES,9.17e-01,1.00e-02,6.80e+02,5.820e-12,1.03e+00,9.16e-01,5.82e-12,3.85e-12,1.42e-08,1.26e-08,0.00e+00,0.00e+00,1.42e-15,2.72e+01,2.07e-12,3.75e-12,0.00e+00,8.97e-01,7.17e-04,6.04e-02,5.44e-02,0.00e+00,3.12e-02,7.51e-02,0.00e+00
20240401022330-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VAHCCG:D01_H06:PRES,3.22e-01,1.00e-02,6.80e+02,5.820e-12,9.86e-01,1.21e-01,5.82e-12,3.85e-12,2.03e-08,2.49e-09,0.00e+00,0.00e+00,1.42e-15,2.72e+01,2.07e-12,3.75e-12,0.00e+00,1.25e+00,7.99e-02,2.00e-06,2.20e-07,0.00e+00,1.08e-01,2.96e-01,0.00e+00
20240401022330-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VAHCCG:D01_H10:PRES,4.27e-01,1.04e-01,6.80e+02,1.147e+00,9.83e-01,5.12e-01,1.15e+00,9.61e-02,3.81e-08,1.99e-08,2.53e-08,1.58e-09,1.15e+00,1.07e-01,2.79e-06,1.42e-10,0.00e+00,5.58e-01,4.04e-03,5.33e-01,4.43e-02,0.00e+00,7.48e-02,2.59e-01,0.00e+00
20240401022330-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VAHCCG:D02_H23:PRES,2.69e+00,1.17e+00,6.80e+02,2.879e+01,1.40e+01,2.41e+00,3.18e+00,8.77e-01,4.36e-06,7.51e-07,1.39e-05,3.35e-07,2.41e+00,1.56e-01,3.64e-02,7.30e-01,0.00e+00,8.27e+00,5.48e-02,2.64e-09,1.13e+00,0.00e+00,1.46e+00,8.29e+00,0.00e+00
20240401053100-20240401095028,20240324000000-20240327000000,2024-04-01 09:48:28,VAHCCG:D01_H04:PRES,4.63e-01,1.00e-02,6.80e+02,5.820e-12,9.81e-01,2.24e-01,5.82e-12,3.86e-12,1.24e-08,2.82e-09,0.00e+00,0.00e+00,1.42e-15,2.72e+01,2.07e-12,3.75e-12,0.00e+00,7.48e-01,2.80e-02,3.06e-01,1.01e-04,0.00e+00,3.31e-01,7.38e-01,0.00e+00
20240401053100-20240401095028,20240324000000-20240327000000,2024-04-01 09:48:28,VAHCCG:D01_H06:PRES,3.46e-01,1.00e-02,6.80e+02,5.820e-12,1.01e+00,1.46e-01,5.82e-12,3.86e-12,2.12e-08,3.06e-09,0.00e+00,0.00e+00,1.42e-15,2.72e+01,2.07e-12,3.75e-12,0.00e+00,1.25e+00,6.83e-02,4.97e-11,2.71e-13,0.00e+00,1.06e-01,2.78e-01,0.00e+00
20240401053100-20240401095028,20240324000000-20240327000000,2024-04-01 09:48:28,VAHCCG:D01_H10:PRES,4.52e-01,1.04e-01,6.80e+02,1.147e+00,9.92e-01,5.37e-01,1.15e+00,9.93e-02,3.84e-08,2.08e-08,2.53e-08,1.58e-09,1.15e+00,1.07e-01,2.79e-06,1.42e-10,0.00e+00,5.63e-01,3.37e-03,5.14e-01,4.62e-02,0.00e+00,6.41e-02,2.28e-01,0.00e+00
20240401053100-20240401104151,20240324000000-20240327000000,2024-04-01 10:39:51,VAHCCG:D01_H04:PRES,4.63e-01,1.00e-02,6.80e+02,5.820e-12,9.81e-01,2.24e-01,5.82e-12,3.86e-12,1.24e-08,2.82e-09,0.00e+00,0.00e+00,1.42e-15,2.72e+01,2.07e-12,3.75e-12,0.00e+00,7.48e-01,2.80e-02,3.06e-01,1.01e-04,0.00e+00,3.31e-01,7.38e-01,0.00e+00
20240401053100-20240401104151,20240324000000-20240327000000,2024-04-01 10:39:51,VAHCCG:D01_H06:PRES,3.46e-01,1.00e-02,6.80e+02,5.820e-12,1.01e+00,1.46e-01,5.82e-12,3.86e-12,2.12e-08,3.06e-09,0.00e+00,0.00e+00,1.42e-15,2.72e+01,2.07e-12,3.75e-12,0.00e+00,1.25e+00,6.83e-02,4.97e-11,2.71e-13,0.00e+00,1.06e-01,2.78e-01,0.00e+00
20240401053100-20240401104151,20240324000000-20240327000000,2024-04-01 10:39:51,VAHCCG:D01_H10:PRES,4.52e-01,1.04e-01,6.80e+02,1.147e+00,9.92e-01,5.37e-01,1.15e+00,9.93e-02,3.84e-08,2.08e-08,2.53e-08,1.58e-09,1.15e+00,1.07e-01,2.79e-06,1.42e-10,0.00e+00,5.63e-01,3.37e-03,5.14e-01,4.62e-02,0.00e+00,6.41e-02,2.28e-01,0.00e+00
