Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240410182430-20240411002223,20240403000000-20240406000000,2024-04-11 00:20:23,VALCCG:D10_L07:PRES,6.60e-07,7.33e-07,7.15e+02,2.023e-05,8.04e-07,8.04e-07,7.86e-07,2.19e-07,1.28e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.55e-10,0.00e+00,3.65e-08,2.71e-11,0.00e+00,7.76e-07,1.00e-08,1.14e-08,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D02_L10:PRES,3.76e-05,1.00e-08,7.15e+02,4.156e-08,7.71e-05,7.71e-05,2.04e-05,3.01e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.63e-14,0.00e+00,3.00e-08,5.68e-08,0.00e+00,1.13e-07,2.94e-05,4.96e-05,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D02_L11:PRES,2.79e-05,1.00e-08,7.15e+02,2.882e-08,5.88e-05,5.88e-05,1.51e-05,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.98e-14,0.00e+00,3.00e-08,4.25e-08,0.00e+00,-1.19e-07,2.18e-05,3.67e-05,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D02_L12:PRES,5.03e-05,1.00e-08,7.15e+02,5.911e-08,1.08e-04,1.08e-04,2.68e-05,3.04e-08,3.03e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.31e-13,0.00e+00,3.04e-08,7.73e-08,0.00e+00,-8.65e-07,3.95e-05,6.82e-05,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D02_L13:PRES,6.30e-05,1.00e-08,7.15e+02,3.110e-08,1.28e-04,1.28e-04,3.41e-05,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.23e-14,0.00e+00,3.00e-08,9.36e-08,0.00e+00,6.83e-07,4.93e-05,8.42e-05,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D02_L14:PRES,4.17e-05,1.00e-08,7.15e+02,3.983e-08,8.84e-05,8.84e-05,2.21e-05,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.08e-14,0.00e+00,3.00e-08,6.31e-08,0.00e+00,-4.56e-07,3.28e-05,5.61e-05,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D02_L15:PRES,3.96e-05,1.00e-08,7.15e+02,4.823e-08,8.10e-05,8.10e-05,2.17e-05,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.06e-13,0.00e+00,3.00e-08,5.88e-08,0.00e+00,6.85e-07,3.08e-05,5.34e-05,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D02_L16:PRES,6.85e-05,1.00e-08,7.15e+02,3.155e-08,1.41e-04,1.41e-04,3.76e-05,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.12e-14,0.00e+00,3.00e-08,1.02e-07,0.00e+00,1.22e-06,5.33e-05,9.14e-05,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D02_L17:PRES,3.24e-04,3.81e-08,7.15e+02,3.288e-07,6.69e-04,6.69e-04,1.77e-04,8.97e-08,8.06e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.55e-11,0.00e+00,8.97e-08,4.68e-07,0.00e+00,9.53e-06,2.53e-04,4.53e-04,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D02_L18:PRES,1.43e-04,2.41e-08,7.15e+02,1.436e-07,3.11e-04,3.11e-04,7.74e-05,1.83e-07,1.83e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.29e-12,0.00e+00,1.82e-07,2.04e-07,0.00e+00,4.54e-06,1.13e-04,2.19e-04,0.00e+00
