Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D01_L22:PRES,8.34e-08,1.00e-08,8.01e+02,3.246e-08,2.07e-07,2.05e-07,1.91e-07,1.20e-07,1.08e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,1.16e-11,1.50e-13,1.80e-07,1.00e-08,5.38e-09,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D10_L09C:PRES,4.34e-08,1.00e-08,8.01e+02,1.603e-08,1.34e-07,1.34e-07,1.06e-07,9.08e-08,6.31e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.30e-11,2.21e-13,2.39e-08,5.15e-11,1.82e-13,7.44e-08,1.00e-08,8.00e-09,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D01_L22:PRES,8.23e-08,1.00e-08,3.08e+02,3.246e-08,2.01e-07,1.98e-07,1.79e-07,9.90e-08,9.72e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,0.00e+00,7.62e-12,1.75e-07,1.00e-08,1.12e-08,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D10_L09A:PRES,3.53e-08,1.00e-08,3.08e+02,2.453e-08,1.05e-07,1.05e-07,9.18e-08,6.66e-08,5.64e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.39e-11,3.99e-13,4.06e-08,6.55e-11,3.58e-12,7.76e-08,1.00e-08,2.88e-09,0.00e+00
20240401022330-20240401043813,20240324000000-20240327000000,2024-04-01 04:36:13,VALCCG:D01_L22:PRES,8.24e-08,1.00e-08,8.51e+02,3.246e-08,2.26e-07,2.26e-07,1.93e-07,1.25e-07,1.11e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,2.79e-11,6.35e-14,1.74e-07,1.00e-08,2.26e-08,0.00e+00
20240401022330-20240401043813,20240324000000-20240327000000,2024-04-01 04:36:13,VALCCG:D10_L09C:PRES,3.91e-08,1.00e-08,8.51e+02,1.603e-08,1.39e-07,1.39e-07,1.09e-07,9.85e-08,7.06e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.30e-11,2.21e-13,2.39e-08,6.15e-11,1.28e-13,6.74e-08,1.00e-08,7.55e-09,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D01_L22:PRES,8.01e-08,1.00e-08,8.51e+02,3.246e-08,2.27e-07,2.27e-07,1.97e-07,1.25e-07,1.17e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,7.34e-12,1.69e-13,1.81e-07,1.00e-08,2.45e-08,0.00e+00
20240401072730-20240401095028,20240324000000-20240327000000,2024-04-01 09:48:28,VALCCG:D01_L22:PRES,7.96e-08,1.00e-08,8.51e+02,3.246e-08,2.31e-07,2.31e-07,2.01e-07,1.25e-07,1.22e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,5.83e-12,1.72e-13,1.82e-07,1.00e-08,2.74e-08,0.00e+00
20240401072730-20240401104155,20240324000000-20240327000000,2024-04-01 10:39:55,VALCCG:D01_L22:PRES,7.96e-08,1.00e-08,8.51e+02,3.246e-08,2.31e-07,2.31e-07,2.01e-07,1.25e-07,1.22e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,5.83e-12,1.72e-13,1.82e-07,1.00e-08,2.74e-08,0.00e+00
20240401072730-20240401115712,20240324000000-20240327000000,2024-04-01 11:55:12,VALCCG:D01_L22:PRES,7.99e-08,1.00e-08,8.51e+02,3.246e-08,2.31e-07,2.31e-07,1.97e-07,1.25e-07,1.17e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,2.55e-11,6.53e-14,1.76e-07,1.00e-08,2.74e-08,0.00e+00
