Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Avg_Pre,Max_Cal,Avg_Cal,Max_Raw_Pre,Avg_Raw_Pre,Max_STD_Raw_Pre,Avg_STD_Raw_Pre,W0_std,W1_std,W2_std,W3_std,W4_std,W0_dif,W1_dif,W2_dif,W3_dif,W4_dif,RMSE_dif,MaxRSE_dif,Cause_no
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D10_L01:PRES,7.65e-01,4.19e-02,8.01e+02,4.608e-01,5.09e+00,7.01e-01,1.05e+00,5.03e-01,7.09e-07,9.76e-08,1.62e-07,6.07e-08,4.36e-01,2.04e-02,2.89e-01,3.22e-01,0.00e+00,2.99e+00,1.27e-01,3.93e-14,4.79e-01,0.00e+00,5.65e-01,2.81e+00,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D10_L02:PRES,3.79e+00,1.37e-01,8.01e+02,4.335e+00,2.26e+01,2.14e+00,1.26e+00,4.86e-01,8.29e-06,7.82e-07,2.44e-06,1.95e-07,5.42e-01,5.15e-03,6.68e-01,4.52e-02,0.00e+00,2.21e+01,2.36e-01,2.94e-04,1.16e+00,0.00e+00,5.04e-01,2.02e+00,0.00e+00
20240402054730-20240402064502,20240325000000-20240328000000,2024-04-02 06:43:02,VALCCG:D10_L04:PRES,1.01e+00,4.02e-02,8.51e+02,5.528e-01,8.64e+00,8.81e-01,1.04e+00,4.70e-01,3.62e-06,3.69e-07,6.18e-07,2.08e-07,5.23e-01,5.37e-03,4.31e-01,8.77e-02,0.00e+00,9.63e-10,9.12e-01,8.15e+00,5.32e-01,0.00e+00,1.54e-01,8.53e-01,0.00e+00
20240403101830-20240403190611,20240326000000-20240329000000,2024-04-03 19:04:11,VALCCG:D04_L06:PRES,4.69e-01,6.53e-02,9.41e+02,1.888e-01,3.84e+00,5.73e-01,1.05e+00,5.37e-01,1.39e-06,2.07e-07,5.02e-07,1.94e-07,5.96e-01,3.87e-03,3.95e-01,5.60e-02,0.00e+00,2.13e+00,1.35e-01,1.47e-14,4.42e-01,0.00e+00,3.60e-01,1.77e+00,0.00e+00
20240403101830-20240403190611,20240326000000-20240329000000,2024-04-03 19:04:11,VALCCG:D04_L07:PRES,5.92e-01,6.20e-02,9.41e+02,1.848e-01,5.24e+00,6.15e-01,1.03e+00,5.64e-01,2.29e-06,2.69e-07,5.93e-07,2.51e-07,6.05e-01,3.34e-03,3.67e-01,6.12e-02,0.00e+00,2.57e+00,1.55e-01,2.13e-10,4.76e-01,0.00e+00,4.60e-01,2.88e+00,0.00e+00
20240403194300-20240403202658,20240326000000-20240329000000,2024-04-03 20:24:58,VALCCG:D10_L07:PRES,8.12e-01,7.62e-02,9.41e+02,7.338e-01,5.46e+00,6.70e-01,1.09e+00,5.42e-01,2.24e-06,2.75e-07,8.14e-07,2.08e-07,6.06e-01,4.51e-03,4.35e-01,5.04e-02,0.00e+00,5.28e+00,2.39e-01,1.09e-08,4.39e-01,0.00e+00,2.84e-01,1.75e+00,0.00e+00
20240403194300-20240403202658,20240326000000-20240329000000,2024-04-03 20:24:58,VALCCG:D10_L08:PRES,5.94e+00,6.90e-01,9.41e+02,1.237e+01,4.27e+01,2.34e+00,2.83e+00,7.39e-01,2.91e-05,1.59e-06,1.28e-05,4.62e-07,6.34e-01,6.48e-03,2.00e+00,1.94e-01,0.00e+00,3.86e+01,3.69e-01,3.63e+00,9.23e-01,0.00e+00,4.55e-01,1.91e+00,0.00e+00
20240403194300-20240403202658,20240326000000-20240329000000,2024-04-03 20:24:58,VALCCG:D10_L09:PRES,8.25e-01,5.30e-02,9.41e+02,5.653e-01,5.81e+00,8.74e-01,1.06e+00,7.22e-01,2.55e-06,3.83e-07,8.85e-07,3.53e-07,7.78e-01,2.14e-03,2.60e-01,2.16e-02,0.00e+00,4.71e+00,1.76e-01,7.58e-10,6.10e-01,0.00e+00,3.06e-01,1.89e+00,0.00e+00
20240404172600-20240405025050,20240328000000-20240331000000,2024-04-05 02:48:50,VALCCG:D10_L07:PRES,8.09e-01,4.61e-02,1.00e+03,7.579e-01,5.37e+00,6.69e-01,1.04e+00,5.36e-01,2.34e-06,2.92e-07,8.14e-07,2.00e-07,5.70e-01,4.26e-03,3.92e-01,7.61e-02,0.00e+00,5.35e+00,2.37e-01,4.90e-04,4.48e-01,0.00e+00,2.48e-01,1.59e+00,0.00e+00
20240404172600-20240405025050,20240328000000-20240331000000,2024-04-05 02:48:50,VALCCG:D10_L08:PRES,7.97e+00,4.26e-01,1.00e+03,1.360e+01,5.63e+01,2.99e+00,1.61e+00,6.05e-01,3.77e-05,2.00e-06,1.28e-05,3.63e-07,6.69e-01,4.00e-03,9.01e-01,3.69e-02,0.00e+00,4.48e+01,3.45e-01,1.11e+01,1.05e+00,0.00e+00,5.85e-01,2.54e+00,0.00e+00
