Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D01_L02:PRES,3.49e-08,3.63e-08,7.15e+02,4.090e-07,6.94e-07,6.94e-07,3.94e-08,6.69e-08,5.99e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.97e-11,0.00e+00,6.69e-08,-6.31e-11,0.00e+00,6.20e-08,2.65e-08,6.35e-07,0.00e+00
20240417082600-20240417142354,20240409000000-20240412000000,2024-04-17 14:21:54,VALCCG:D07_L00:PRES,6.25e-08,3.26e-08,7.15e+02,3.246e-07,6.02e-07,6.02e-07,3.99e-08,1.05e-07,9.63e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.51e-11,0.00e+00,1.05e-07,-6.65e-11,0.00e+00,6.37e-08,2.51e-08,5.41e-07,0.00e+00
20240417110430-20240417170223,20240409000000-20240412000000,2024-04-17 17:00:23,VALCCG:D04_L24:PRES,2.12e-08,1.00e-08,7.15e+02,4.797e-08,5.91e-07,5.91e-07,3.09e-08,3.01e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.21e-14,0.00e+00,3.00e-08,2.87e-12,0.00e+00,2.99e-08,2.12e-08,5.60e-07,0.00e+00
20240423015930-20240423075713,20240415000000-20240418000000,2024-04-23 07:55:13,Dummy,1.00e-08,1.00e-08,7.150e+02,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,1.00e-08,0.
20240501102500-20240501162255,20240423000000-20240426000000,2024-05-01 16:20:55,VALCCG:D01_L01A:PRES,1.32e-07,2.83e-07,7.15e+02,2.533e-06,1.60e-07,1.60e-07,8.33e-08,3.23e-07,1.61e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.57e-10,0.00e+00,-3.94e-09,-7.06e-11,0.00e+00,1.08e-07,1.00e-08,5.35e-08,0.00e+00
20240501102500-20240501162255,20240423000000-20240426000000,2024-05-01 16:20:55,VALCCG:D07_L03:PRES,4.90e-08,7.26e-08,7.15e+02,7.640e-07,1.48e-07,1.48e-07,3.21e-08,1.17e-07,7.16e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.26e-10,0.00e+00,2.65e-08,-1.15e-11,0.00e+00,3.62e-08,1.00e-08,1.18e-07,0.00e+00
20240515083900-20240515143700,20240507000000-20240510000000,2024-05-15 14:35:00,VALCCG:D06_L13:PRES,2.98e-08,3.01e-08,7.16e+02,1.553e-07,1.37e-07,1.37e-07,4.66e-08,5.85e-08,4.28e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.43e-11,0.00e+00,2.68e-08,-8.99e-11,0.00e+00,7.88e-08,1.02e-08,5.83e-08,0.00e+00
20240515083900-20240515143700,20240507000000-20240510000000,2024-05-15 14:35:00,VALCCG:D09_L21:PRES,2.93e-08,3.01e-08,7.16e+02,1.644e-07,1.32e-07,1.32e-07,4.81e-08,5.89e-08,4.40e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.16e-11,0.00e+00,2.91e-08,-9.12e-11,0.00e+00,8.07e-08,1.00e-08,5.14e-08,0.00e+00
20240515083900-20240515143700,20240507000000-20240510000000,2024-05-15 14:35:00,VALCCG:D09_L23:PRES,3.14e-08,3.39e-08,7.16e+02,1.814e-07,1.44e-07,1.44e-07,4.54e-08,6.24e-08,4.38e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.29e-11,0.00e+00,2.45e-08,-9.06e-11,0.00e+00,7.78e-08,1.17e-08,6.65e-08,0.00e+00
20240515233230-20240515235740,20240507000000-20240510000000,2024-05-15 23:55:40,VALCCG:D01_L05:PRES,4.58e-08,1.00e-08,5.00e+01,3.155e-08,7.87e-08,7.87e-08,7.57e-08,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.19e-13,0.00e+00,2.99e-08,-6.30e-11,0.00e+00,7.73e-08,1.00e-08,2.35e-09,0.00e+00
20240516113200-20240516172936,20240508000000-20240511000000,2024-05-16 17:27:36,VALCCG:D01_L04:PRES,3.24e-08,1.00e-08,7.15e+02,1.063e-07,7.31e-08,7.31e-08,6.41e-08,3.44e-08,3.19e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.04e-12,0.00e+00,2.94e-08,-1.08e-11,0.00e+00,6.79e-08,1.00e-08,5.94e-09,0.00e+00
20240516113200-20240516172936,20240508000000-20240511000000,2024-05-16 17:27:36,VALCCG:D01_L19:PRES,2.29e-08,1.00e-08,7.15e+02,5.294e-23,7.16e-08,7.16e-08,5.26e-08,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.83e-25,0.00e+00,3.00e-08,-1.15e-11,0.00e+00,5.67e-08,1.00e-08,1.60e-08,0.00e+00
20240516113200-20240516172936,20240508000000-20240511000000,2024-05-16 17:27:36,VALCCG:D01_L20:PRES,1.97e-08,1.00e-08,7.15e+02,5.294e-23,6.83e-08,6.83e-08,4.94e-08,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.83e-25,0.00e+00,3.00e-08,-1.02e-11,0.00e+00,5.30e-08,1.00e-08,1.75e-08,0.00e+00
20240516113200-20240516172936,20240508000000-20240511000000,2024-05-16 17:27:36,VALCCG:D10_L06:PRES,1.08e-07,2.39e-07,7.15e+02,5.101e-06,3.00e-08,3.00e-08,3.00e-08,2.30e-07,1.17e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.21e-10,0.00e+00,3.10e-10,-3.97e-26,0.00e+00,3.00e-08,1.00e-08,1.98e-23,0.00e+00
20240701101830-20240701161623,20240623000000-20240626000000,2024-07-01 16:14:23,VALCCG:D02_L01:PRES,7.29e-08,1.00e-08,7.15e+02,2.453e-08,1.98e-06,1.98e-06,3.28e-08,3.01e-08,3.01e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-5.46e-14,0.00e+00,3.01e-08,-9.95e-12,0.00e+00,3.64e-08,7.28e-08,1.95e-06,0.00e+00
20240701101830-20240701161623,20240623000000-20240626000000,2024-07-01 16:14:23,VALCCG:D02_L02:PRES,7.28e-08,1.00e-08,7.15e+02,1.007e-07,1.98e-06,1.98e-06,3.28e-08,3.43e-08,3.33e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.79e-12,0.00e+00,3.43e-08,-9.99e-12,0.00e+00,3.64e-08,7.28e-08,1.94e-06,0.00e+00
20240701101830-20240701161623,20240623000000-20240626000000,2024-07-01 16:14:23,VALCCG:D02_L03:PRES,7.35e-08,1.00e-08,7.15e+02,4.783e-08,2.00e-06,2.00e-06,3.29e-08,3.04e-08,3.03e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.73e-13,0.00e+00,3.04e-08,-1.01e-11,0.00e+00,3.65e-08,7.35e-08,1.96e-06,0.00e+00
20240701101830-20240701161623,20240623000000-20240626000000,2024-07-01 16:14:23,VALCCG:D02_L04:PRES,6.24e-08,1.00e-08,7.15e+02,2.333e-08,1.70e-06,1.70e-06,3.24e-08,3.01e-08,3.01e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-5.34e-14,0.00e+00,3.01e-08,-8.41e-12,0.00e+00,3.54e-08,6.23e-08,1.66e-06,0.00e+00
20240701101830-20240701161623,20240623000000-20240626000000,2024-07-01 16:14:23,VALCCG:D02_L05:PRES,6.19e-08,1.00e-08,7.15e+02,1.442e-08,1.69e-06,1.69e-06,3.23e-08,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.37e-14,0.00e+00,3.00e-08,-8.14e-12,0.00e+00,3.52e-08,6.18e-08,1.65e-06,0.00e+00
