Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D04_L09C:PRES,2.36e-08,1.00e-08,8.01e+02,1.237e-08,6.76e-08,6.76e-08,4.87e-08,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.20e-15,3.00e-08,3.49e-11,1.46e-13,2.64e-08,1.00e-08,9.75e-09,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D10_L10:PRES,3.01e-08,1.00e-08,8.01e+02,1.742e-08,9.99e-08,9.99e-08,7.55e-08,6.83e-08,4.60e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.45e-13,2.78e-08,4.49e-11,1.86e-13,4.69e-08,1.00e-08,6.15e-09,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D01_L17:PRES,3.04e-08,1.00e-08,3.08e+02,4.167e-08,8.47e-08,8.47e-08,6.92e-08,4.43e-08,3.89e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.39e-11,2.76e-13,3.06e-08,1.67e-11,4.45e-12,6.36e-08,1.00e-08,9.54e-09,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D10_L09C:PRES,4.25e-08,1.00e-08,3.08e+02,1.603e-08,8.92e-08,8.92e-08,7.89e-08,4.33e-08,3.64e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.30e-11,2.21e-13,2.39e-08,6.68e-11,4.90e-14,6.64e-08,1.00e-08,3.12e-09,0.00e+00
20240401022330-20240401043813,20240324000000-20240327000000,2024-04-01 04:36:13,VALCCG:D02_L17:PRES,1.94e-07,2.11e-08,8.51e+02,9.766e-08,3.93e-07,3.93e-07,2.92e-07,6.57e-07,4.74e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.14e-10,1.46e-12,1.67e-07,2.98e-10,3.27e-13,1.00e-07,1.00e-08,1.83e-08,0.00e+00
20240401022330-20240401043813,20240324000000-20240327000000,2024-04-01 04:36:13,VALCCG:D04_L09C:PRES,2.45e-08,1.00e-08,8.51e+02,1.237e-08,6.86e-08,6.86e-08,5.19e-08,3.01e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.20e-15,3.00e-08,4.45e-11,4.72e-14,2.33e-08,1.00e-08,1.21e-08,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D01_L02:PRES,2.65e-07,2.74e-08,8.51e+02,1.778e-07,5.16e-07,5.16e-07,4.05e-07,8.04e-07,6.51e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.72e-10,2.86e-12,1.31e-07,2.33e-10,1.91e-12,1.15e-07,1.65e-08,5.13e-08,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D02_L17:PRES,2.38e-07,2.11e-08,8.51e+02,9.766e-08,3.93e-07,3.93e-07,3.31e-07,6.57e-07,5.52e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.14e-10,1.46e-12,1.67e-07,1.32e-10,1.07e-12,1.67e-07,1.00e-08,3.43e-08,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D03_L03:PRES,2.62e-08,1.00e-08,8.51e+02,4.495e-08,6.42e-08,6.32e-08,5.44e-08,3.02e-08,3.02e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.30e-15,2.99e-08,3.83e-11,0.00e+00,2.79e-08,1.00e-08,7.23e-09,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D03_L07:PRES,2.61e-08,1.00e-08,8.51e+02,1.603e-08,6.32e-08,6.32e-08,5.34e-08,3.02e-08,3.02e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.26e-15,2.99e-08,3.00e-11,1.02e-13,2.58e-08,1.00e-08,7.58e-09,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D03_L08:PRES,2.65e-08,1.00e-08,8.51e+02,1.700e-08,6.38e-08,6.38e-08,5.64e-08,3.17e-08,3.12e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.51e-14,2.93e-08,2.67e-11,4.49e-14,3.49e-08,1.00e-08,8.18e-09,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D03_L11A:PRES,2.81e-08,1.00e-08,8.51e+02,3.881e-08,8.16e-08,6.73e-08,5.45e-08,3.05e-08,3.04e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.61e-15,2.99e-08,4.36e-12,3.35e-13,2.89e-08,1.00e-08,6.78e-09,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D04_L09C:PRES,3.08e-08,1.00e-08,8.51e+02,1.237e-08,6.86e-08,6.86e-08,5.76e-08,3.01e-08,3.01e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.20e-15,3.00e-08,3.20e-11,1.35e-13,2.63e-08,1.00e-08,6.56e-09,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D06_L05:PRES,2.08e-07,2.30e-08,8.51e+02,1.202e-07,2.68e-07,2.68e-07,2.13e-07,4.97e-07,4.06e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.92e-10,2.21e-12,1.25e-07,8.15e-11,9.81e-13,9.05e-08,1.01e-08,3.23e-08,0.00e+00
20240401043830-20240401053056,20240324000000-20240327000000,2024-04-01 05:28:56,VALCCG:D09_L23:PRES,3.25e-07,3.08e-08,8.51e+02,1.438e-07,3.98e-07,3.98e-07,3.33e-07,7.62e-07,6.34e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.37e-10,2.13e-12,1.88e-07,7.03e-11,1.43e-12,1.87e-07,1.25e-08,4.40e-08,0.00e+00
20240401072730-20240401095028,20240324000000-20240327000000,2024-04-01 09:48:28,VALCCG:D01_L05:PRES,2.41e-08,1.00e-08,8.51e+02,0.000e+00,6.25e-08,6.25e-08,5.28e-08,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00,3.00e-08,0.00e+00,2.95e-13,2.79e-08,1.00e-08,1.31e-08,0.00e+00
20240401072730-20240401095028,20240324000000-20240327000000,2024-04-01 09:48:28,VALCCG:D02_L11:PRES,2.50e-08,1.00e-08,8.51e+02,0.000e+00,6.25e-08,6.25e-08,5.36e-08,3.00e-08,3.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00,3.00e-08,0.00e+00,2.99e-13,2.84e-08,1.00e-08,9.90e-09,0.00e+00
