Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Avg_Pre,Max_Cal,Avg_Cal,Max_Raw_Pre,Avg_Raw_Pre,Max_STD_Raw_Pre,Avg_STD_Raw_Pre,W0_std,W1_std,W2_std,W3_std,W4_std,W0_dif,W1_dif,W2_dif,W3_dif,W4_dif,RMSE_dif,MaxRSE_dif,Cause_no
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D01_L05:PRES,2.36e-01,1.00e-02,8.01e+02,7.123e-12,9.98e-01,6.05e-02,7.12e-12,2.65e-12,2.13e-08,1.29e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.15e+00,1.68e-01,4.52e-12,3.44e-09,0.00e+00,8.58e-02,3.30e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D01_L17:PRES,3.72e-01,1.49e-01,8.01e+02,5.524e-01,9.93e-01,5.94e-01,1.06e+00,2.47e-01,7.72e-08,4.62e-08,5.14e-08,1.01e-08,9.78e-01,5.35e-02,6.04e-10,8.66e-02,0.00e+00,6.26e-01,3.23e-03,4.25e-01,5.19e-02,0.00e+00,5.40e-02,1.89e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D01_L18:PRES,4.91e-01,1.53e-01,8.01e+02,1.309e+00,9.98e-01,5.39e-01,7.75e-01,5.35e-02,3.04e-08,1.64e-08,2.07e-08,6.98e-10,7.73e-01,1.46e-01,1.39e-12,2.70e-03,0.00e+00,6.25e-01,6.51e-02,2.48e-06,4.54e-01,0.00e+00,3.19e-02,8.18e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D01_L21:PRES,3.29e-01,1.09e-01,8.01e+02,1.153e+00,9.96e-01,4.28e-01,1.15e+00,1.10e-01,5.21e-08,2.24e-08,4.50e-08,3.22e-09,1.15e+00,9.57e-02,3.80e-07,2.89e-06,0.00e+00,7.42e-01,8.03e-02,3.42e-15,3.45e-01,0.00e+00,3.03e-02,9.10e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D02_L11:PRES,2.98e-01,4.19e-02,8.01e+02,9.514e-01,1.04e+00,1.02e-01,6.06e-02,3.06e-03,2.37e-08,2.33e-09,1.25e-08,3.98e-11,1.39e-13,2.72e+01,6.06e-02,5.56e-09,0.00e+00,1.30e+00,1.04e-01,1.51e-12,6.41e-11,0.00e+00,9.96e-02,3.02e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D02_L16:PRES,4.78e-01,1.28e-01,8.01e+02,7.848e-01,1.07e+00,4.75e-01,5.51e-01,3.82e-02,3.15e-08,1.39e-08,1.81e-08,5.03e-10,5.51e-01,1.38e-01,4.93e-07,7.90e-12,0.00e+00,7.98e-01,1.65e-02,2.28e-01,1.11e-01,0.00e+00,1.35e-01,2.88e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D02_L20:PRES,6.56e-01,1.59e-01,8.01e+02,7.561e-01,1.02e+00,7.27e-01,7.56e-01,7.44e-02,3.33e-08,2.36e-08,1.96e-08,9.60e-10,7.56e-01,9.28e-02,9.36e-15,1.86e-08,0.00e+00,8.16e-01,2.74e-03,2.75e-01,1.55e-02,0.00e+00,4.52e-02,1.38e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D02_L23:PRES,4.53e-01,1.18e-01,8.01e+02,1.113e+00,1.00e+00,5.59e-01,1.11e+00,1.20e-01,4.36e-08,2.43e-08,2.90e-08,2.18e-09,1.11e+00,8.39e-02,1.24e-06,1.56e-07,0.00e+00,5.75e-01,6.18e-02,7.09e-10,4.77e-01,0.00e+00,2.77e-02,5.12e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L01:PRES,2.52e-01,1.00e-02,8.01e+02,7.123e-12,1.03e+00,6.49e-02,7.12e-12,2.65e-12,1.53e-08,9.62e-10,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.19e+00,1.62e-01,1.03e-06,4.78e-07,0.00e+00,9.83e-02,4.37e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L02:PRES,3.84e-01,1.02e-01,8.01e+02,1.090e+00,1.01e+00,4.64e-01,1.09e+00,8.69e-02,4.57e-08,2.09e-08,3.11e-08,1.63e-09,1.09e+00,1.17e-01,1.42e-07,5.17e-08,0.00e+00,6.84e-01,7.10e-02,3.13e-04,3.78e-01,0.00e+00,2.66e-02,5.46e-02,0.00e+00
